ticker
ABEV3 BZ EQUITY
AZUL4 BZ EQUITY
B3SA3 BZ EQUITY
BBAS3 BZ EQUITY
BBDC3 BZ EQUITY
BBDC4 BZ EQUITY
BBSE3 BZ EQUITY
BEEF3 BZ EQUITY
BPAC11 BZ EQUITY
BRAP4 BZ EQUITY
BRDT3 BZ EQUITY
BRFS3 BZ EQUITY
BRKM5 BZ EQUITY
BRML3 BZ EQUITY
BRSR6 BZ EQUITY
BTOW3 BZ EQUITY
CCRO3 BZ EQUITY
CESP6 BZ EQUITY
CIEL3 BZ EQUITY
CMIG3 BZ EQUITY
CMIG4 BZ EQUITY
CPLE6 BZ EQUITY
CRFB3 BZ EQUITY
CSAN3 BZ EQUITY
CSMG3 BZ EQUITY
CSNA3 BZ EQUITY
CVCB3 BZ EQUITY
CYRE3 BZ EQUITY
DTEX3 BZ EQUITY
ECOR3 BZ EQUITY
EGIE3 BZ EQUITY
ELET3 BZ EQUITY
ELET6 BZ EQUITY
EMBR3 BZ EQUITY
ENAT3 BZ EQUITY
ENBR3 BZ EQUITY
ENGI11 BZ EQUITY
EQTL3 BZ EQUITY
YDUQ3 BZ EQUITY
EZTC3 BZ EQUITY
FLRY3 BZ EQUITY
GFSA3 BZ EQUITY
GGBR4 BZ EQUITY
GNDI3 BZ EQUITY
GOAU4 BZ EQUITY
GOLL4 BZ EQUITY
HAPV3 BZ EQUITY
HGTX3 BZ EQUITY
HYPE3 BZ EQUITY
IGTA3 BZ EQUITY
IRBR3 BZ EQUITY
ITSA4 BZ EQUITY
ITUB4 BZ EQUITY
JBSS3 BZ EQUITY
KLBN11 BZ EQUITY
COGN3 BZ EQUITY
LAME4 BZ EQUITY
LIGT3 BZ EQUITY
LINX3 BZ EQUITY
LREN3 BZ EQUITY
MDIA3 BZ EQUITY
MGLU3 BZ EQUITY
MRFG3 BZ EQUITY
MRVE3 BZ EQUITY
MULT3 BZ EQUITY
MYPK3 BZ EQUITY
NTCO3 BZ EQUITY
ODPV3 BZ EQUITY
PETR3 BZ EQUITY
PETR4 BZ EQUITY
POMO4 BZ EQUITY
PSSA3 BZ EQUITY
QUAL3 BZ EQUITY
RADL3 BZ EQUITY
RAIL3 BZ EQUITY
RAPT4 BZ EQUITY
RENT3 BZ EQUITY
SANB11 BZ EQUITY
SAPR11 BZ EQUITY
SBSP3 BZ EQUITY
SEER3 BZ EQUITY
SLCE3 BZ EQUITY
SMLS3 BZ EQUITY
SMTO3 BZ EQUITY
SULA11 BZ EQUITY
SUZB3 BZ EQUITY
TAEE11 BZ EQUITY
TEND3 BZ EQUITY
TIET11 BZ EQUITY
TIMP3 BZ EQUITY
TOTS3 BZ EQUITY
TRPL4 BZ EQUITY
TUPY3 BZ EQUITY
UGPA3 BZ EQUITY
USIM5 BZ EQUITY
VALE3 BZ EQUITY
VIVT4 BZ EQUITY
VVAR3 BZ EQUITY
